		Document: 7111			with 21859 symbols, 2631 words and 6063 tokens processed in 9.571267366409302 sec
		Document: 7110			with 24820 symbols, 3241 words and 6814 tokens processed in 13.126992464065552 sec
		Document: 7109			with 31388 symbols, 3924 words and 8526 tokens processed in 16.533568143844604 sec
		Document: 7108			with 31009 symbols, 4044 words and 8851 tokens processed in 13.414365291595459 sec
		Document: 7107			with 13969 symbols, 1618 words and 3618 tokens processed in 8.240891695022583 sec
		Document: 7106			with 34140 symbols, 4553 words and 9734 tokens processed in 15.111795902252197 sec
		Document: 7105			with 26209 symbols, 3347 words and 7367 tokens processed in 10.930457353591919 sec
		Document: 7104			with 17157 symbols, 2096 words and 4629 tokens processed in 7.6283204555511475 sec
		Document: 7103			with 18965 symbols, 2572 words and 5499 tokens processed in 9.317199945449829 sec
		Document: 7102			with 14889 symbols, 1815 words and 4106 tokens processed in 7.558924913406372 sec
		Document: 7101			with 21292 symbols, 2892 words and 6433 tokens processed in 11.438429594039917 sec
		Document: 7100			with 17695 symbols, 2373 words and 5192 tokens processed in 8.71072793006897 sec
		Document: 7099			with 18131 symbols, 2539 words and 5412 tokens processed in 9.867073774337769 sec
		Document: 7098			with 24695 symbols, 3287 words and 7141 tokens processed in 9.17788052558899 sec
		Document: 7097			with 19605 symbols, 2428 words and 5534 tokens processed in 7.371592044830322 sec
		Document: 7096			with 25488 symbols, 3191 words and 7019 tokens processed in 12.850976705551147 sec
		Document: 7095			with 33701 symbols, 4158 words and 9270 tokens processed in 15.758000373840332 sec
		Document: 7094			with 13897 symbols, 1774 words and 3690 tokens processed in 5.518486499786377 sec
		Document: 7093			with 32134 symbols, 4105 words and 8967 tokens processed in 15.305501461029053 sec
		Document: 7092			with 33862 symbols, 4168 words and 9083 tokens processed in 13.561238527297974 sec
		Document: 7091			with 27037 symbols, 3426 words and 7416 tokens processed in 14.064582824707031 sec
		Document: 7090			with 26067 symbols, 3575 words and 7547 tokens processed in 10.42676043510437 sec
		Document: 7089			with 25270 symbols, 3530 words and 7862 tokens processed in 13.462207078933716 sec
		Document: 7088			with 14261 symbols, 1854 words and 4061 tokens processed in 6.422111988067627 sec
		Document: 7087			with 23552 symbols, 3205 words and 6946 tokens processed in 9.798010349273682 sec
		Document: 7086			with 25567 symbols, 3305 words and 7545 tokens processed in 14.481135606765747 sec
		Document: 7085			with 14508 symbols, 1844 words and 4162 tokens processed in 6.235034227371216 sec
		Document: 7084			with 24913 symbols, 3159 words and 6820 tokens processed in 11.188530921936035 sec
		Document: 7083			with 34627 symbols, 4449 words and 9739 tokens processed in 14.299713850021362 sec
		Document: 7082			with 32500 symbols, 4095 words and 8922 tokens processed in 15.091744899749756 sec
		Document: 7081			with 16046 symbols, 2091 words and 4345 tokens processed in 7.237380027770996 sec
		Document: 7080			with 15763 symbols, 2021 words and 4308 tokens processed in 5.7096052169799805 sec
		Document: 7079			with 17959 symbols, 2144 words and 4681 tokens processed in 4.854363203048706 sec
		Document: 7078			with 17806 symbols, 2095 words and 4838 tokens processed in 6.3878493309021 sec
		Document: 7077			with 18962 symbols, 2479 words and 5527 tokens processed in 5.271413564682007 sec
		Document: 7076			with 14976 symbols, 1801 words and 4084 tokens processed in 7.095840692520142 sec
		Document: 7075			with 11684 symbols, 1427 words and 3017 tokens processed in 4.278541564941406 sec
		Document: 7074			with 17716 symbols, 2075 words and 4694 tokens processed in 7.403353214263916 sec
		Document: 7073			with 12404 symbols, 1567 words and 3224 tokens processed in 5.546017646789551 sec
		Document: 7072			with 16568 symbols, 2007 words and 4401 tokens processed in 8.51779556274414 sec
		Document: 7071			with 16772 symbols, 1982 words and 4282 tokens processed in 8.621337413787842 sec
		Document: 7070			with 35231 symbols, 4063 words and 9292 tokens processed in 15.701763153076172 sec
		Document: 7069			with 20395 symbols, 2406 words and 5396 tokens processed in 10.483438730239868 sec
		Document: 7068			with 10237 symbols, 1260 words and 2895 tokens processed in 5.675198554992676 sec
		Document: 7067			with 10977 symbols, 1350 words and 2936 tokens processed in 3.3173024654388428 sec
		Document: 7066			with 17220 symbols, 2143 words and 4554 tokens processed in 6.501588821411133 sec
		Document: 7065			with 18188 symbols, 2207 words and 4749 tokens processed in 8.472208738327026 sec
		Document: 7064			with 8936 symbols, 1036 words and 2273 tokens processed in 3.8271608352661133 sec
		Document: 7063			with 19859 symbols, 2289 words and 5077 tokens processed in 8.37087368965149 sec
		Document: 7062			with 10019 symbols, 1256 words and 2628 tokens processed in 3.923680067062378 sec
		Document: 7061			with 6500 symbols, 757 words and 1639 tokens processed in 3.0432395935058594 sec
		Document: 7060			with 9712 symbols, 1182 words and 2500 tokens processed in 3.0444529056549072 sec
		Document: 7059			with 7318 symbols, 886 words and 1907 tokens processed in 2.7680091857910156 sec
		Document: 7058			with 18052 symbols, 2234 words and 5152 tokens processed in 6.185604572296143 sec
